ciclo,nodo,evento,desde,probabilidad,patch_lv,infectados_total,intencion
0,fw1,PARCHEO,-,-,18,1,patch
1,fw1,PARCHEO,-,-,28,1,patch
2,fw1,PARCHEO,-,-,38,1,patch
3,fw1,PARCHEO,-,-,48,1,patch
3,fw1,Infeccion_Exitosa,internet,0.23799999999999996,48,2,spread
4,sw1,PARCHEO,-,-,16,2,patch
5,sw1,PARCHEO,-,-,26,2,patch
6,sw1,PARCHEO,-,-,36,2,patch
6,sw1,Infeccion_Exitosa,fw1,0.26599999999999996,36,3,spread
32,pc1,Infeccion_Exitosa,sw1,0.35,8,4,spread
44,pc3,Infeccion_Exitosa,pc1,0.35,2,5,spread
73,pc4,Infeccion_Exitosa,pc3,0.35,6,6,spread
74,-,ALERTA_CRITICA,-,-,-,6,-
74,pc1,AISLADO_EMERGENCIA,-,-,8,6,isolated
74,pc2,AISLADO_EMERGENCIA,-,-,4,6,isolated
74,pc3,AISLADO_EMERGENCIA,-,-,2,6,isolated
74,pc4,AISLADO_EMERGENCIA,-,-,6,6,isolated
74,sw1,AISLADO_EMERGENCIA,-,-,36,6,isolated
74,fw1,AISLADO_EMERGENCIA,-,-,48,6,isolated
