encabezado_evt_hist
ciclo,nodo,evento,desde,probabilidad,patch_lv,infectados_total,intencion,escenario
0,fw1,PARCHEO,-,-,22,1,patch,E1 - Real 2017
0,fw1,PARCHEO,-,-,18,1,patch,E1 - Real 2017
0,fw1,PARCHEO,-,-,15,1,patch,E1 - Real 2017
0,fw1,PARCHEO,-,-,18,1,patch,E1 - Real 2017
1,fw1,PARCHEO,-,-,28,1,patch,E1 - Real 2017
1,fw1,PARCHEO,-,-,28,1,patch,E1 - Real 2017
1,fw1,PARCHEO,-,-,32,1,patch,E1 - Real 2017
1,fw1,PARCHEO,-,-,25,1,patch,E1 - Real 2017
1,fw1,Infeccion_Exitosa,internet,0.2478,32,2,spread,E1 - Real 2017
1,fw1,Infeccion_Exitosa,internet,0.2562,28,2,spread,E1 - Real 2017
1,fw1,Infeccion_Exitosa,internet,0.2625,25,2,spread,E1 - Real 2017
2,sw1,PARCHEO,-,-,18,2,patch,E1 - Real 2017
2,fw1,PARCHEO,-,-,38,1,patch,E1 - Real 2017
2,sw1,PARCHEO,-,-,23,2,patch,E1 - Real 2017
2,sw1,PARCHEO,-,-,18,2,patch,E1 - Real 2017
2,sw1,Infeccion_Exitosa,fw1,0.308,18,3,spread,E1 - Real 2017
2,sw1,Infeccion_Exitosa,fw1,0.308,18,3,spread,E1 - Real 2017
3,sw1,Aislamiento_Contencion,Global,0.0,18,3,isolated,E1 - Real 2017
3,sw1,PARCHEO,-,-,33,2,patch,E1 - Real 2017
3,fw1,PARCHEO,-,-,48,1,patch,E1 - Real 2017
3,fw1,Aislamiento_Contencion,Global,0.0,28,3,isolated,E1 - Real 2017
4,fw1,PARCHEO,-,-,58,1,patch,E1 - Real 2017
4,sw1,PARCHEO,-,-,43,2,patch,E1 - Real 2017
5,sw1,PARCHEO,-,-,53,2,patch,E1 - Real 2017
10,fw1,Infeccion_Exitosa,internet,0.19319999999999998,58,2,spread,E1 - Real 2017
11,sw1,PARCHEO,-,-,17,2,patch,E1 - Real 2017
12,sw1,PARCHEO,-,-,27,2,patch,E1 - Real 2017
10,S1PC1,Infeccion_Exitosa,sw1,0.35,14,4,spread,E1 - Real 2017
13,sw1,PARCHEO,-,-,37,2,patch,E1 - Real 2017
14,sw1,Infeccion_Exitosa,fw1,0.22633333333333333,53,3,spread,E1 - Real 2017
14,sw1,PARCHEO,-,-,47,2,patch,E1 - Real 2017
15,sw1,PARCHEO,-,-,57,2,patch,E1 - Real 2017
16,S1PC2,Infeccion_Exitosa,S1PC1,0.35,10,5,spread,E1 - Real 2017
19,S1PC1,Infeccion_Exitosa,sw1,0.35,13,4,spread,E1 - Real 2017
17,S1PC1,Aislamiento_Contencion,Global,0.0,14,5,isolated,E1 - Real 2017
17,S1PC2,Aislamiento_Contencion,Global,0.0,10,5,isolated,E1 - Real 2017
17,sw1,Aislamiento_Contencion,Global,0.0,18,5,isolated,E1 - Real 2017
17,fw1,Aislamiento_Contencion,Global,0.0,32,5,isolated,E1 - Real 2017
20,S2PC1,Infeccion_Exitosa,sw1,0.35,10,5,spread,E1 - Real 2017
21,sw1,Infeccion_Exitosa,fw1,0.217,57,3,spread,E1 - Real 2017
21,S2PC2,Infeccion_Exitosa,S2PC1,0.35,12,6,spread,E1 - Real 2017
23,S2PC1,Infeccion_Exitosa,sw1,0.35,12,4,spread,E1 - Real 2017
23,S2PC3,Infeccion_Exitosa,S2PC2,0.35,13,7,spread,E1 - Real 2017
24,S1PC2,Infeccion_Exitosa,S1PC1,0.35,5,8,spread,E1 - Real 2017
25,S1PC3,Infeccion_Exitosa,S1PC2,0.35,14,9,spread,E1 - Real 2017
26,S1PC1,Aislamiento_Contencion,Global,0.0,13,9,isolated,E1 - Real 2017
26,S1PC2,Aislamiento_Contencion,Global,0.0,5,9,isolated,E1 - Real 2017
26,S1PC3,Aislamiento_Contencion,Global,0.0,14,9,isolated,E1 - Real 2017
26,sw1,Aislamiento_Contencion,Global,0.0,53,9,isolated,E1 - Real 2017
26,fw1,Aislamiento_Contencion,Global,0.0,25,9,isolated,E1 - Real 2017
26,S2PC1,Aislamiento_Contencion,Global,0.0,10,9,isolated,E1 - Real 2017
26,S2PC2,Aislamiento_Contencion,Global,0.0,12,9,isolated,E1 - Real 2017
26,S2PC3,Aislamiento_Contencion,Global,0.0,13,9,isolated,E1 - Real 2017
31,S1PC1,Infeccion_Exitosa,sw1,0.35,6,5,spread,E1 - Real 2017
33,S2PC2,Infeccion_Exitosa,S2PC1,0.35,7,6,spread,E1 - Real 2017
33,S2PC3,Infeccion_Exitosa,S2PC2,0.35,14,7,spread,E1 - Real 2017
34,sw1,AISLADO,-,-,57,7,isolated,E1 - Real 2017
35,S1PC1,Aislamiento_Contencion,Global,0.0,6,7,isolated,E1 - Real 2017
35,sw1,Aislamiento_Contencion,Global,0.0,57,7,isolated,E1 - Real 2017
35,fw1,Aislamiento_Contencion,Global,0.0,58,7,isolated,E1 - Real 2017
35,S2PC1,Aislamiento_Contencion,Global,0.0,12,7,isolated,E1 - Real 2017
35,S2PC2,Aislamiento_Contencion,Global,0.0,7,7,isolated,E1 - Real 2017
35,S2PC3,Aislamiento_Contencion,Global,0.0,14,7,isolated,E1 - Real 2017
0,fw1,PARCHEO,-,-,17,1,patch,E1 - Real 2017
0,fw1,PARCHEO,-,-,24,1,patch,E1 - Real 2017
0,fw1,PARCHEO,-,-,19,1,patch,E1 - Real 2017
0,fw1,PARCHEO,-,-,22,1,patch,E1 - Real 2017
0,fw1,Infeccion_Exitosa,internet,0.2646,24,2,spread,E1 - Real 2017
1,fw1,PARCHEO,-,-,32,1,patch,E1 - Real 2017
1,fw1,PARCHEO,-,-,29,1,patch,E1 - Real 2017
1,fw1,PARCHEO,-,-,27,1,patch,E1 - Real 2017
1,sw1,PARCHEO,-,-,17,2,patch,E1 - Real 2017
1,fw1,Infeccion_Exitosa,internet,0.25830000000000003,27,2,spread,E1 - Real 2017
2,fw1,PARCHEO,-,-,42,1,patch,E1 - Real 2017
2,fw1,PARCHEO,-,-,39,1,patch,E1 - Real 2017
2,sw1,PARCHEO,-,-,27,2,patch,E1 - Real 2017
2,sw1,PARCHEO,-,-,23,2,patch,E1 - Real 2017
2,fw1,Infeccion_Exitosa,internet,0.2268,42,2,spread,E1 - Real 2017
2,fw1,Infeccion_Exitosa,internet,0.2331,39,2,spread,E1 - Real 2017
3,sw1,PARCHEO,-,-,15,2,patch,E1 - Real 2017
3,sw1,PARCHEO,-,-,33,2,patch,E1 - Real 2017
3,sw1,PARCHEO,-,-,37,2,patch,E1 - Real 2017
3,sw1,PARCHEO,-,-,20,2,patch,E1 - Real 2017
