encabezado_informe
escenario,nivel_max_parche,ciclo_inicio_infeccion,ciclo_fin_contencion,ciclo_final,numero_infectados,numero_asalvo,nivel_firewall,nivel_contencion
E1 - Real 2017,28,1,3,3,2,36,10,5
E1 - Real 2017,32,1,17,17,4,34,10,5
E1 - Real 2017,53,1,26,26,8,30,10,5
E1 - Real 2017,58,10,35,35,6,32,10,5
E1 - Real 2017,33,1,7,7,3,35,10,5
E1 - Real 2017,42,2,16,16,11,27,10,5
E1 - Real 2017,47,0,-1,48,12,26,10,5
E1 - Real 2017,55,2,-1,48,21,17,10,5
E1 - Real 2017,32,1,2,2,1,37,10,5
E1 - Real 2017,58,6,-1,48,17,21,10,5
E1 - Real 2017,24,0,1,1,1,37,10,5
E1 - Real 2017,53,9,-1,48,15,23,10,5
E1 - Real 2017,36,2,-1,48,11,27,10,5
E1 - Real 2017,54,1,-1,48,15,23,10,5
E1 - Real 2017,38,1,5,5,2,36,10,5
E1 - Real 2017,51,6,14,14,3,35,10,5
E1 - Real 2017,35,2,22,22,13,25,10,5
E1 - Real 2017,57,1,38,38,12,26,10,5
E1 - Real 2017,53,0,26,26,6,32,10,5
E1 - Real 2017,59,4,33,33,8,30,10,5
E1 - Real 2017,39,2,23,23,6,32,10,5
E1 - Real 2017,55,6,-1,48,9,29,10,5
E1 - Real 2017,50,0,-1,48,21,17,10,5
E1 - Real 2017,51,9,-1,48,19,19,10,5
E1 - Real 2017,53,0,-1,48,14,24,10,5
E1 - Real 2017,51,10,-1,48,21,17,10,5
E1 - Real 2017,51,1,-1,48,27,11,10,5
E1 - Real 2017,55,0,-1,48,15,23,10,5
E1 - Real 2017,53,3,-1,48,24,14,10,5
E1 - Real 2017,57,7,-1,48,16,22,10,5
E1 - Real 2017,53,6,22,22,4,34,10,5
E1 - Real 2017,55,1,-1,48,9,29,10,5
E1 - Real 2017,49,0,42,42,20,18,10,5
E1 - Real 2017,59,1,-1,48,16,22,10,5
E1 - Real 2017,58,14,32,32,8,30,10,5
E1 - Real 2017,57,3,-1,48,14,24,10,5
E1 - Real 2017,57,0,-1,48,11,27,10,5
E1 - Real 2017,51,5,-1,48,17,21,10,5
E1 - Real 2017,59,3,-1,48,13,25,10,5
E1 - Real 2017,59,11,-1,48,11,27,10,5
